period_month,ug_name,uol1_name,uol2_name,servicel1_id,servicel1_name,Nº fichas RFO,Nº SN2 con ficha RFO con status OK,Nº SN2 con dependencias Consumer,Nº SN2 del tipo Aplicación no Hijo,Número de features “deployed” válidas,Número de features “deployed”,Valor de cumplimiento de objetivos en Op Model,Servicios N2 con medición en el modelo objetivo del Op Model,Vulnerab. de alto riesgo por cada mil líneas de códgio,Vulnerab. de alto riesgo por cada mil líneas de códgio mes anterior,Variación de la evolución de vulnerabilidades,Nº  de vulnerabilidades “high”,Nº de Lineas de código ,Nº de vulnerabilidades “high” en el mes anterior,Líneas de código en el mes anterior,Fichas RFO con status OK,SN2 con Dependencias asignadas,Calidad de Features,Cumpliminto objetivo adopción del Op. Model, Evolución de vulnerabilidades,Peso - Fichas RFO con status OK,Peso - SN2 con Dependencias asignadas, Peso - Calidad de Features,Peso - Cumpliminto objetivo adopción del Op. Model,Peso -  Evolución de vulnerabilidades,Distribución pesos si no aplica indicador,% Adopción total,Está certificado? (>= 70%),Nivel de Certificación
mar 25,COLOMBIA,SYSTEMS ENGINEERING,CFS-FINANZAS-T&C-R&IC,294,FINANZAS,16,16,16,16,23,23,"6,0",8,"0,0000","0,0000","0,0000",0,140.752,0,94.229,"100,00%","100,00%","100,00%","75,00%","100,00%","0,1300","0,1300","0,2000","0,2025","0,2700","1,0000",93%,1,Level 3
mar 25,COLOMBIA,SYSTEMS ENGINEERING,CFS-FINANZAS-T&C-R&IC,295,CUMPLIMIENTO & AUDITORÍA,14,13,14,14,4,4,"4,0",5,"0,0000","0,0000","0,0000",0,696,0,696,"92,86%","100,00%","100,00%","80,00%","100,00%","0,1207","0,1300","0,2000","0,2160","0,2700","1,0000",94%,1,Level 3
mar 25,COLOMBIA,SYSTEMS ENGINEERING,CFS-RIESGOS,5127,RIESGOS PARTICULARES,6,5,6,6,14,14,"6,0",6,"0,0000","0,0000","0,0000",0,719.524,0,707.463,"83,33%","100,00%","100,00%","100,00%","100,00%","0,1083","0,1300","0,2000","0,2700","0,2700","1,0000",98%,1,Level 3
mar 25,COLOMBIA,SYSTEMS ENGINEERING,CFS-RIESGOS,5130,RIESGOS COBRANZA,2,2,2,2,12,12,"1,0",1,"-99,0000","-99,0000","0,0000",0,0,0,0,"100,00%","100,00%","100,00%","100,00%",-,"0,1300","0,1300","0,2000","0,2700",-,"0,7300",100%,1,Level 3
mar 25,COLOMBIA,SYSTEMS ENGINEERING,CFS-RIESGOS,5131,"RIESGOS REPORTING, NORMATIVOS",6,6,6,6,8,8,"3,0",3,"0,0000","0,0000","0,0000",0,51.831,0,51.831,"100,00%","100,00%","100,00%","100,00%","100,00%","0,1300","0,1300","0,2000","0,2700","0,2700","1,0000",100%,1,Level 3
mar 25,COLOMBIA,SYSTEMS ENGINEERING,CFS-RIESGOS,6209,RIESGOS PYMES Y MAYORISTAS,6,5,6,6,9,9,"3,0",3,"4,2875","4,3147","-0,6319",671,156.503,671,155.514,"83,33%","100,00%","100,00%","100,00%","0,00%","0,1083","0,1300","0,2000","0,2700","0,0000","1,0000",71%,1,Level 1
mar 25,COLOMBIA,SYSTEMS ENGINEERING,CIB & COMEX - FIDUCIARIA - VALORES,456,BACKOFFICE,5,4,5,5,6,6,"0,0",0,"0,0000","0,0000","0,0000",0,2.927,0,2.927,"80,00%","100,00%","100,00%",-,"100,00%","0,1040","0,1300","0,2000",-,"0,2700","0,7300",96%,1,Level 3
mar 25,COLOMBIA,SYSTEMS ENGINEERING,CIB & COMEX - FIDUCIARIA - VALORES,457,FIDUCIARIA,7,6,7,7,0,0,"4,5",6,"0,0161","0,0187","-13,9287",73,4.545.305,73,3.912.205,"85,71%","100,00%",-,"75,00%","100,00%","0,1114","0,1300",-,"0,2025","0,2700","0,8000",89%,1,Level 2
mar 25,COLOMBIA,SYSTEMS ENGINEERING,CIB & COMEX - FIDUCIARIA - VALORES,458,GLOBAL MARKET & COMEX,17,17,17,17,26,30,"6,5",10,"0,0113","0,0151","-25,5427",9,799.489,9,595.278,"100,00%","100,00%","86,67%","65,00%","100,00%","0,1300","0,1300","0,1733","0,1755","0,2700","1,0000",88%,1,Level 2
mar 25,COLOMBIA,SYSTEMS ENGINEERING,CIB & COMEX - FIDUCIARIA - VALORES,459,VALORES,4,4,3,3,3,3,"0,0",0,"0,0000","0,0000","0,0000",0,40.333,0,39.100,"100,00%","100,00%","100,00%",-,"100,00%","0,1300","0,1300","0,2000",-,"0,2700","0,7300",100%,1,Level 3
